FORMULA	FIXEDMASS
C6H3F7O2	240.0021269
C6H3F7O2	240.0021269
C7H7F7O	240.0385124
C7H7F7O	240.0385124
C7H7F7O	240.0385124
C7H7F7O	240.0385124
C7H7F7O	240.0385124
C7H7F7O	240.0385124
C6H7F7N2	240.0497458
C8H11F7	240.0748979
C6H6F7NO	241.0337614
C7H10F7N	241.0701469
C5HF7O3	241.9813914
C5H4F6O4	242.0013779
C5H7F5O3S	242.0036062
C6H5F7O2	242.0177769
C6H5F7O2	242.0177769
C6H5F7O2	242.0177769
C6H5F7O2	242.0177769
C6H5F7O2	242.0177769
C6H5F7O2	242.0177769
C6H5F7O2	242.0177769
C7H9F7O	242.0541624
C7H9F7O	242.0541624
C7H9F7O	242.0541624
C5H4F7NO2	243.0130259
C5H4F7NO2	243.0130259
C6H8F7NO	243.0494114
C5F8O2	243.977055
C5F8O2	243.977055
C4H5F5O4S	243.9828707
C4H5F5O4S	243.9828707
C4H6F5O4P	243.9923864
C5H3F7O3	243.9970415
C5H3F7O3	243.9970415
C6H7F7O2	244.033427
C6H7F7O2	244.033427
C6H7F7O2	244.033427
C5F9N	244.988703
C5H3F8NO	245.0086895
C4HClF6O3	245.9518409
C4HF7O4	245.9763061
C4H2ClF7N2	245.9794733
C5H2F8O2	245.9927051
C5H2F8O2	245.9927051
C5H2F8O2	245.9927051
C6H3F9	246.0091041
C7H9F3O4S	246.0173644
C9H5F7	246.0279477
C9H5F7	246.0279477
C3BrF7	247.9071596
C3H2F6O4S	247.9577989
C5HF9O	247.9883686
C5HF9O	247.9883686
C5HF9O	247.9883686
C7H3F7N2	248.0184456
C7H3F7N2	248.0184456
C6H5F9	248.0247541
C8H13F5N2O	248.0948041
C3H2F7NO2S	248.9694468
C5H4F9N	249.0200031
C3HF7O3S	249.9534624
C3H2F7O3P	249.9629781
C5F10	249.9840322
C5F10	249.9840322
C5F10	249.9840322
C5F10	249.9840322
C5H3F9O	250.0040187
C5H3F9O	250.0040187
C5H3F9O	250.0040187
C5H3F9O	250.0040187
C5H3F9O	250.0040187
C7H5F7N2	250.0340957
C8H8F6O2	250.0428488
C8H13F5NO2	250.0860962
C4HF9O2	251.9832833
C7H3F7O2	252.0021269
C7H9F5O2S	252.0243416
C5H3F7N4	252.0245936
C9H11F7	252.0748979
C7H6F7NO	253.0337614
C7H6F7NO	253.0337614
C7H6F7NO	253.0337614
C4ClF9	253.9544817
C4F10O	253.9789468
C5HF7N2O2	253.9926248
C7H5F7O2	254.0177769
C7H5F7O2	254.0177769
C7H5F7O2	254.0177769
C7H5F7O2	254.0177769
C7H5F7O2	254.0177769
C8H6F8	254.034176
C8H9F7O	254.0541624
C9H13F7	254.090548
C6H4F7NS	254.9952677
C6H7F6NOS	255.0152542
C7H8F7NO	255.0494114
C7H8F7NO	255.0494114
C6H6F6O2S	255.9992698
C7H7F7O2	256.033427
C7H7F7O2	256.033427
C7H7F7O2	256.033427
C7H7F7O2	256.033427
C7H7F7O2	256.033427
C4H4F5NO4S	256.9781197
C6H6F7NO2	257.028676
C6H6F7NO2	257.028676
